GEM unit/phase ID,GEM location ID,Plant name,owner,capacity_mw,capacity_factor,annual_generation_MWh,emission_actual,emission_threshold,is_mine_mouth,Status,Combustion technology
G100000100040,L100000102708,Adipala power station,PLN,660.0,0.55,3179880.0000000005,2982400.11388054,2896870.6800000006,False,operating,supercritical
G100000100142,L100000102773,Amamapare Port power station,PT Puncakjaya Power [100%],65.0,0.55,313170.0,386852.4978287972,406181.49,False,operating,subcritical
G100000100143,L100000102773,Amamapare Port power station,PT Puncakjaya Power [100%],65.0,0.55,313170.0,386852.4978287972,406181.49,False,operating,subcritical
G100000100144,L100000102773,Amamapare Port power station,PT Puncakjaya Power [100%],65.0,0.55,313170.0,386852.4978287972,406181.49,False,operating,subcritical
G100000100180,L100000102759,Amurang power station,PLN,30.0,0.55,144540.0,165793.927640913,187468.38,False,operating,subcritical
G100000100181,L100000102759,Amurang power station,PLN,30.0,0.55,144540.0,165793.927640913,187468.38,False,operating,subcritical
G100000113971,L100000104535,Amurang-2 power station,PLN,30.0,0.55,144540.0,153040.548591612,187468.38,False,operating,subcritical
G100000113972,L100000104535,Amurang-2 power station,PLN,30.0,0.55,144540.0,153040.548591612,187468.38,False,operating,subcritical
G100000100367,L100000102695,Asahimas Chemical power station,PT Asahimas Chemical [100%],150.0,0.55,722700.0,756673.13297565,730649.7,False,operating,unknown
G100000112731,L100000102695,Asahimas Chemical power station,PT Asahimas Chemical [100%],150.0,0.55,722700.0,756673.13297565,730649.7,False,operating,unknown
G100000105482,L100000102783,Asam-Asam power station,PLN,65.0,0.55,313170.0,373327.9485131625,406181.49,False,operating,unknown
G100000105483,L100000102783,Asam-Asam power station,PLN,65.0,0.55,313170.0,373327.9485131625,406181.49,False,operating,unknown
G100000100515,L100000102783,Asam-Asam power station,PLN,100.0,0.55,481800.00000000006,536146.2160164001,487099.8,False,operating,CFB
G100000100517,L100000102783,Asam-Asam power station,PLN,65.0,0.55,313170.0,406577.5471457702,406181.49,False,operating,subcritical
G100000100518,L100000102783,Asam-Asam power station,PLN,65.0,0.55,313170.0,406577.5471457702,406181.49,False,operating,subcritical
G100000100505,L100000102812,Bandung Indosyntec power station,PT Panasia Indo Resources Tbk [100%],30.0,0.55,144540.0,178547.30669021409,187468.38,False,operating,subcritical
G100000100508,L100000102693,Bangka Baru power station,PLN,30.0,0.55,144540.0,165793.927640913,187468.38,False,operating,subcritical
G100000100509,L100000102693,Bangka Baru power station,PLN,30.0,0.55,144540.0,165793.927640913,187468.38,False,operating,subcritical
G100000100510,L100000102794,Bangko Tengah power station,PT Huadian Bukit Asam Power [100%],660.0,0.55,3179880.0000000005,2711272.83080049,2896870.6800000006,False,operating,supercritical
G100000100511,L100000102794,Bangko Tengah power station,PT Huadian Bukit Asam Power [100%],660.0,0.55,3179880.0000000005,2711272.83080049,2896870.6800000006,False,operating,supercritical
G100000100519,L100000102795,Banjarsari power station,PT Bukit Pembangkit Innovative [100%],110.0,0.55,529980.0000000001,607911.068016681,535809.78,False,operating,subcritical
G100000100520,L100000102795,Banjarsari power station,PT Bukit Pembangkit Innovative [100%],110.0,0.55,529980.0000000001,607911.068016681,535809.78,False,operating,subcritical
G100000100530,L100000102696,Banten Labuan power station,PLN,300.0,0.55,1445400.0,1530405.48591612,1461299.4,False,operating,subcritical
