zone,year,energy_GWh
Sumatra,2015,29167
Jawa-Madura-Bali,2015,150898
Kalimantan,2015,8233
Sulawesi,2015,8092
Maluku-Papua-NTT,2015,4210
Sumatra,2016,30978
Jawa-Madura-Bali,2016,160205
Kalimantan,2016,8779
Sulawesi,2016,8915
Maluku-Papua-NTT,2016,4578
Sumatra,2017,32559
Jawa-Madura-Bali,2017,165061
Kalimantan,2017,9197
Sulawesi,2017,9410
Maluku-Papua-NTT,2017,4839
Sumatra,2018,34612
Jawa-Madura-Bali,2018,172788
Kalimantan,2018,9836
Sulawesi,2018,10007
Maluku-Papua-NTT,2018,5189
Sumatra,2019,36698
Jawa-Madura-Bali,2019,179299
Kalimantan,2019,10703
Sulawesi,2019,10784
Maluku-Papua-NTT,2019,5574
Sumatra,2020,37924
Jawa-Madura-Bali,2020,174641
Kalimantan,2020,11272
Sulawesi,2020,11200
Maluku-Papua-NTT,2020,6102
Sumatra,2021,40801
Jawa-Madura-Bali,2021,183793
Kalimantan,2021,11864
Sulawesi,2021,12120
Maluku-Papua-NTT,2021,6491
Sumatra,2022,43549
Jawa-Madura-Bali,2022,194419
Kalimantan,2022,12501
Sulawesi,2022,13601
Maluku-Papua-NTT,2022,6748
Sumatra,2023,46133
Jawa-Madura-Bali,2023,202765
Kalimantan,2023,13900
Sulawesi,2023,14860
Maluku-Papua-NTT,2023,7568
Sumatra,2024,46133
Jawa-Madura-Bali,2024,216057
Kalimantan,2024,15662
Sulawesi,2024,16347
Maluku-Papua-NTT,2024,8402
