GEM unit/phase ID,GEM location ID,Country/Area,Wiki URL,Plant name,Unit name,Plant name (other),Plant name (local),Owner,Owner GEM Entity ID,Parent,Parent GEM Entity ID,Capacity (MW),Status,Start year,Retired year,Planned retirement,Combustion technology,Coal type,Coal source,Conversion to (fuel),Conversion to (GEM unit ID),Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Subregion,Region,Latitude,Longitude,Location accuracy,Permits,Permit Date,Permit Parsed,Captive,Captive industry use,Captive residential use,China Capacity Payment Recipient,CHP,Plant age (years),Capacity factor,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Annual CO2 (million tonnes / annum),Remaining plant lifetime (years),Lifetime CO2 (million tonnes),province_norm,zone,est_generation_MWh,emis_intensity_t_per_MWh
G100000100037,L100000102733,Indonesia,https://www.gem.wiki/Adaro_East_Kalimantan_power_station,Adaro East Kalimantan power station,Unit 1,"East Kuktai, Kaltim?",,China Shenhua Overseas Development and Investment Co Ltd; PT Bhakti Energi Persada; PT Adaro Power,E100000120029; E100002007614; E100001013153,China Shenhua Energy Co Ltd; PT Alamtri Resources Indonesia Tbk; unknown,E100000000175; E100001000782; E100000132388,300.0,cancelled,,,,unknown,unknown,mine-mouth,,,,,,,East Kalimantan,South-eastern Asia,Asia,0.1,116.4,approximate,,,,,,,,,0,0.55,9465.5,96100,1.387234077122025,35,48.55319269927088,Kalimantan Timur,Kalimantan,1445400.0,0.959757905854452
G100000100038,L100000102733,Indonesia,https://www.gem.wiki/Adaro_East_Kalimantan_power_station,Adaro East Kalimantan power station,Unit 2,"East Kuktai, Kaltim?",,China Shenhua Overseas Development and Investment Co Ltd; PT Bhakti Energi Persada; PT Adaro Power,E100000120029; E100002007614; E100001013153,China Shenhua Energy Co Ltd; PT Alamtri Resources Indonesia Tbk; unknown,E100000000175; E100001000782; E100000132388,300.0,cancelled,,,,unknown,unknown,mine-mouth,,,,,,,East Kalimantan,South-eastern Asia,Asia,0.1,116.4,approximate,,,,,,,,,0,0.55,9465.5,96100,1.387234077122025,35,48.55319269927088,Kalimantan Timur,Kalimantan,1445400.0,0.959757905854452
G100000100040,L100000102708,Indonesia,https://www.gem.wiki/Adipala_power_station,Adipala power station,Unit 1,"Pembangkit Listrik Tenaga Uap Adipala, 印尼国电阿迪帕拉电站",,PT PLN (Persero) [100%],E100000000537 [100%],PT PLN (Persero) [100.0%],E100000000537 [100.0%],660.0,operating,2015.0,,,supercritical,subbituminous,,,,bioenergy,Bunton,Adipala,Cilacap,Central Java,South-eastern Asia,Asia,-7.685942,109.13756,exact,,,,,,,,,10,0.55,9249.900000000001,96100,2.98240011388054,25,74.56000284701351,Jawa Tengah,Jawa-Madura-Bali,3179880.0000000005,0.9378970633736302
G100000115748,L100000104979,Indonesia,https://www.gem.wiki/AlamTri_Aluminum_Smelter_power_station,AlamTri Aluminum Smelter power station,Phase I Unit 1,"Adaro Aluminum Smelter power station, PT Kalimantan Industrial Park Indonesia power station",,PT Kaltara Power Indonesia [100%],E100000120702 [100%],PT Alamtri Resources Indonesia Tbk,E100001000782,275.0,construction,2025.0,,,unknown,unknown,,,,,,Tanah Kuning,Bulungan,North Kalimantan,South-eastern Asia,Asia,2.4946822,117.9001999,exact,,,,aluminum,power,,,,0,0.55,10326.0,96100,1.387234077122025,35,48.55319269927088,Kalimantan Utara,Kalimantan,1324950.0,1.047008624568493
G100001052602,L100000104979,Indonesia,https://www.gem.wiki/AlamTri_Aluminum_Smelter_power_station,AlamTri Aluminum Smelter power station,Phase I Unit 2,"Adaro Aluminum Smelter power station, PT Kalimantan Industrial Park Indonesia power station",,PT Kaltara Power Indonesia [100%],E100000120702 [100%],PT Alamtri Resources Indonesia Tbk,E100001000782,275.0,construction,2025.0,,,unknown,unknown,,,,,,Tanah Kuning,Bulungan,North Kalimantan,South-eastern Asia,Asia,2.4946822,117.9001999,exact,,,,aluminum,power,,,,0,0.55,10326.0,96100,1.387234077122025,35,48.55319269927088,Kalimantan Utara,Kalimantan,1324950.0,1.047008624568493
G100001052603,L100000104979,Indonesia,https://www.gem.wiki/AlamTri_Aluminum_Smelter_power_station,AlamTri Aluminum Smelter power station,Phase I Unit 3,"Adaro Aluminum Smelter power station, PT Kalimantan Industrial Park Indonesia power station",,PT Kaltara Power Indonesia [100%],E100000120702 [100%],PT Alamtri Resources Indonesia Tbk,E100001000782,275.0,construction,2025.0,,,unknown,unknown,,,,,,Tanah Kuning,Bulungan,North Kalimantan,South-eastern Asia,Asia,2.4946822,117.9001999,exact,,,,aluminum,power,,,,0,0.55,10326.0,96100,1.387234077122025,35,48.55319269927088,Kalimantan Utara,Kalimantan,1324950.0,1.047008624568493
G100001052604,L100000104979,Indonesia,https://www.gem.wiki/AlamTri_Aluminum_Smelter_power_station,AlamTri Aluminum Smelter power station,Phase I Unit 4,"Adaro Aluminum Smelter power station, PT Kalimantan Industrial Park Indonesia power station",,PT Kaltara Power Indonesia [100%],E100000120702 [100%],PT Alamtri Resources Indonesia Tbk,E100001000782,275.0,construction,2025.0,,,unknown,unknown,,,,,,Tanah Kuning,Bulungan,North Kalimantan,South-eastern Asia,Asia,2.4946822,117.9001999,exact,,,,aluminum,power,,,,0,0.55,10326.0,96100,1.387234077122025,35,48.55319269927088,Kalimantan Utara,Kalimantan,1324950.0,1.047008624568493
G100000115905,L100000104979,Indonesia,https://www.gem.wiki/AlamTri_Aluminum_Smelter_power_station,AlamTri Aluminum Smelter power station,Phase II,"Adaro Aluminum Smelter power station, PT Kalimantan Industrial Park Indonesia power station",,PT Kaltara Power Indonesia [100%],E100000120702 [100%],PT Alamtri Resources Indonesia Tbk,E100001000782,1100.0,announced,2026.0,,,unknown,unknown,,,,,,Tanah Kuning,Bulungan,North Kalimantan,South-eastern Asia,Asia,2.4946822,117.9001999,exact,,,,aluminum,power,,,,0,0.55,8605.0,96100,4.624113590406751,35,161.8439756642363,Kalimantan Utara,Kalimantan,5299800.0,0.8725071871404112
G100000100142,L100000102773,Indonesia,https://www.gem.wiki/Amamapare_Port_power_station,Amamapare Port power station,Unit 1,,,PT Puncakjaya Power [100%],E100000121062 [100%],PT Puncakjaya Power [100.0%],E100000121062 [100.0%],65.0,operating,1998.0,,2027.0,subcritical,unknown,Pinang coal deposit,fossil gas: LNG,G100001018115,,Amamapare,Mimika Timur Jauh,Mimika,Papua,South-eastern Asia,Asia,-4.827752,136.839082,exact,,,,other metals & mining,power,,,,27,0.55,12182.8,96100,0.3868524978287972,2,0.7737049956575943,Papua,Maluku-Papua-NTT,313170.0,1.2352795536890417
G100000100143,L100000102773,Indonesia,https://www.gem.wiki/Amamapare_Port_power_station,Amamapare Port power station,Unit 2,,,PT Puncakjaya Power [100%],E100000121062 [100%],PT Puncakjaya Power [100.0%],E100000121062 [100.0%],65.0,operating,1998.0,,2027.0,subcritical,unknown,Pinang coal deposit,,,,Amamapare,Mimika Timur Jauh,Mimika,Papua,South-eastern Asia,Asia,-4.827752,136.839082,exact,,,,other metals & mining,power,,,,27,0.55,12182.8,96100,0.3868524978287972,2,0.7737049956575943,Papua,Maluku-Papua-NTT,313170.0,1.2352795536890417
